no,name,typesetting,kunnrei,font,color,created,kana
4853,やばすぎ,やばすぎ,yabasugi,,0,5.0.0,やばすぎ
4854,やばたにえん,やばたにえん,yabatanienn,,0,5.0.0,やばたにえん
4855,やぶへび,やぶへび,yabuhebi,,2,5.0.0,やぶへび
4856,やだなぁ,やだなぁ,yadanala,,3,5.0.0,やだなぁ
4857,やでみがある,やでみがある,yademigaaru,,4,5.0.0,やでみがある
4858,やでみがない,やでみがない,yademiganai,,5,5.0.0,やでみがない
4859,やはりバグなのですね,やはりバグなのですね,yaharibagunanodesune,,8,5.0.0,やはりばぐなのですね
4860,やはりそうなのですね,やはりそうなのですね,yaharisounanodesune,,6,5.0.0,やはりそうなのですね
4861,やいのやいの,やいのやいの,yainoyaino,,7,5.0.0,やいのやいの
4862,焼畑農業,焼畑農業,yakihatanougyou,,1,5.0.0,やきはたのうぎょう
4863,焼肉定食,焼肉定食,yakinikuteisyoku,,2,5.0.0,やきにくていしょく
4864,やきそば,やきそば,yakisoba,,11,5.0.0,やきそば
4865,ヤクブーツ,ヤクブーツ,yakubu-ru,,11,5.0.0,やくぶーる
4866,薬物ダメ,薬物ダメ,yakubutudame,,0,5.0.0,やくぶつだめ
4867,役員旅行,役員旅行,yakuinnryokou,,2,5.0.0,やくいんりょこう
4868,ヤクの毛刈り,ヤクの毛刈り,yakunokegari,,3,5.0.0,やくのけがり
4869,約束勝利,約束勝利,yakusokusyouri,,4,5.0.0,やくそくしょうり
4870,山にいる,山にいる,yamaniiru,,5,5.0.0,やまにいる
4871,山の如し,山の如し,yamanogotosi,,6,5.0.0,やまのごとし
4872,やめどき,やめどき,yamedoki,,7,5.0.0,やめどき
4873,やめくだストップ,やめくだストップ,yamekudasutoppu,,9,5.0.0,やめくだすとっぷ
4874,やめろ,やめろ,yamero,,9,5.0.0,やめろ
4875,やめるのやめるの,やめるのやめるの,yamerunoyameruno,,10,5.0.0,やめるのやめるの
4876,やめるのやめるわ,やめるのやめるわ,yamerunoyameruwa,,11,5.0.0,やめるのやめるわ
4877,やめるのやめたわ,やめるのやめたわ,yamerunoyametawa,,0,5.0.0,やめるのやめたわ
4878,やめるわ,やめるわ,yameruwa,,1,5.0.0,やめるわ
4879,やみのま,やみのま,yaminoma,,2,5.0.0,やみのま
4880,やむやむ,やむやむ,yamuyamu,,3,5.0.0,やむやむ
4881,ヤンキー,ヤンキー,yannki-,,5,5.0.0,やんきー
4882,ヤンチャ,ヤンチャ,yanntya,,6,5.0.0,やんちゃ
